"place","pop1980","pop2000","pop2010","pop2023","pop2024","pop2030","pop2050","country","area","landAreaKm","cca2","cca3","unMember","netChange","growthRate","worldPercentage","density","densityMi","rank","cca2Disp","countryDisp","pop2024Disp","pop2023Disp","areaDisp","landAreaKmDisp","densityDisp","growthRateDisp","worldPercentageDisp","rankDisp","unMemberDisp"
356,696828385,1059633675,1240613620,1428627663,1441719852,1514994080,1670490596,"India",3287590,2973190,"IN","IND",true,0.4114,0.0092,0.1801,484.9067,1255.9084,1,[object Object],[object Object],[object Object],"1,428,627,663","3.3M","3M","485",[object Object],[object Object],1,[object Object]
156,982372466,1264099069,1348191368,1425671352,1425178782,1415605906,1312636325,"China",9706961,9424702.9,"CN","CHN",true,-0.0199,-0.0003,0.178,151.2174,391.653,2,[object Object],[object Object],[object Object],"1,425,671,352","9.7M","9.4M","151",[object Object],[object Object],2,[object Object]
840,223140018,282398554,311182845,339996563,341814420,352162301,375391963,"United States",9372610,9147420,"US","USA",true,0.0571,0.0053,0.0427,37.3673,96.7813,3,[object Object],[object Object],[object Object],"339,996,563","9.4M","9.1M","37",[object Object],[object Object],3,[object Object]
360,148177096,214072421,244016173,277534122,279798049,292150100,317225213,"Indonesia",1904569,1877519,"ID","IDN",true,0.0707,0.0082,0.035,149.0254,385.9758,4,[object Object],[object Object],[object Object],"277,534,122","1.9M","1.9M","149",[object Object],[object Object],4,[object Object]
586,80624057,154369924,194454498,240485658,245209815,274029836,367808468,"Pakistan",881912,770880,"PK","PAK",true,0.1499,0.0196,0.0306,318.0908,823.8551,5,[object Object],[object Object],[object Object],"240,485,658","881.9K","770.9K","318",[object Object],[object Object],5,[object Object]
566,72951439,122851984,160952853,223804632,229152217,262580425.99999997,377459883,"Nigeria",923768,910770,"NG","NGA",true,0.1709,0.0239,0.0286,251.6027,651.6511,6,[object Object],[object Object],[object Object],"223,804,632","923.8K","910.8K","252",[object Object],[object Object],6,[object Object]
76,122288383,175873720,196353492,216422446,217637297,223908968,230885725,"Brazil",8515767,8358140,"BR","BRA",true,0.0377,0.0056,0.0272,26.039,67.4409,7,[object Object],[object Object],[object Object],"216,422,446","8.5M","8.4M","26",[object Object],[object Object],7,[object Object]
50,83929765,129193327,148391139,172954319,174701211,184424144,203904900,"Bangladesh",147570,130170,"BD","BGD",true,0.055,0.0101,0.0218,1342.1004,3476.0401,8,[object Object],[object Object],[object Object],"172,954,319","147.6K","130.2K","1,342",[object Object],[object Object],8,[object Object]
643,138257420,146844839,143242599,144444359,143957079,141432741,133133035,"Russia",17098242,16376870,"RU","RUS",true,-0.0151,-0.0034,0.018,8.7903,22.7668,9,[object Object],[object Object],[object Object],"144,444,359","17.1M","16.4M","9",[object Object],[object Object],9,[object Object]
231,34945469,67031867,89237791,126527060,129719719,149296378,214812309,"Ethiopia",1104300,1128571.3,"ET","ETH",true,0.1016,0.0252,0.0162,114.9415,297.6986,10,[object Object],[object Object],[object Object],"126,527,060","1.1M","1.1M","115",[object Object],[object Object],10,[object Object]
484,67705186,97873442,112532401,128455567,129388467,134534107,143772364,"Mexico",1964375,1943950,"MX","MEX",true,0.0292,0.0073,0.0162,66.5596,172.3893,11,[object Object],[object Object],[object Object],"128,455,567","2M","1.9M","67",[object Object],[object Object],11,[object Object]
392,117624196,126803861,128105431,123294513,122631432,118514802,103784357,"Japan",377930,364500,"JP","JPN",true,-0.0211,-0.0054,0.0153,336.4374,871.3729,12,[object Object],[object Object],[object Object],"123,294,513","377.9K","364.5K","336",[object Object],[object Object],12,[object Object]
608,48419546,77958223,94636700,117337368,119106224,129453321,157891622,"Philippines",342353,298170,"PH","PHL",true,0.056,0.0151,0.0149,399.4574,1034.5948,13,[object Object],[object Object],[object Object],"117,337,368","342.4K","298.2K","399",[object Object],[object Object],13,[object Object]
818,43748556,71371371,87252413,112716598,114484252,125151725,160339889,"Egypt",1002450,995450,"EG","EGY",true,0.0569,0.0157,0.0143,115.0075,297.8695,14,[object Object],[object Object],[object Object],"112,716,598","1M","1M","115",[object Object],[object Object],14,[object Object]
180,26708686,48616317,66391257,102262808,105625114,127582053,217494003,"DR Congo",2344858,2267050,"CD","COD",true,0.1081,0.0329,0.0132,46.5914,120.6718,15,[object Object],[object Object],[object Object],"102,262,808","2.3M","2.3M","47",[object Object],[object Object],15,[object Object]
704,52968270,79001142,87411012,98858950,99497680,102699905,107012939,"Vietnam",331212,313429,"VN","VNM",true,0.0197,0.0065,0.0124,317.4489,822.1926,16,[object Object],[object Object],[object Object],"98,858,950","331.2K","313.4K","317",[object Object],[object Object],16,[object Object]
364,38520664,65544383,75373855,89172767,89809781,92921017,99007204,"Iran",1648195,1622500,"IR","IRN",true,0.0196,0.0071,0.0112,55.3527,143.3635,17,[object Object],[object Object],[object Object],"89,172,767","1.6M","1.6M","55",[object Object],[object Object],17,[object Object]
792,44089069,64113547,73195345,85816199,86260417,88879698,95829258,"Turkey",783562,783562,"TR","TUR",true,0.0139,0.0052,0.0108,110.0875,285.1267,18,[object Object],[object Object],[object Object],"85,816,199","783.6K","783.6K","110",[object Object],[object Object],18,[object Object]
276,77786703,81551677,81325090,83294633,83252474,82762675,78932228,"Germany",357114,349390,"DE","DEU",true,-0.0015,-0.0005,0.0104,238.2795,617.1439,19,[object Object],[object Object],[object Object],"83,294,633","357.1K","349.4K","238",[object Object],[object Object],19,[object Object]
764,45737753,63066603,68270489,71801279,71885799,72060018,67880083,"Thailand",513120,510890,"TH","THA",true,0.0023,0.0012,0.009,140.707,364.4311,20,[object Object],[object Object],[object Object],"71,801,279","513.1K","510.9K","141",[object Object],[object Object],20,[object Object]
834,19297659,34463704,45110527,67438106,69419073,81885304,129931520,"Tanzania",945087,885800,"TZ","TZA",true,0.0633,0.0294,0.0087,78.3688,202.9752,21,[object Object],[object Object],[object Object],"67,438,106","945.1K","885.8K","78",[object Object],[object Object],21,[object Object]
826,56326328,58850043,62760039,67736802,67961439,69175770,71684966,"United Kingdom",242900,241930,"GB","GBR",true,0.0071,0.0033,0.0085,280.9136,727.5663,22,[object Object],[object Object],[object Object],"67,736,802","242.9K","241.9K","281",[object Object],[object Object],22,[object Object]
250,53713830,58665453,62444567,64756584,64881830,65543452.00000001,65827072,"France",551695,547557,"FR","FRA",true,0.0039,0.0019,0.0081,118.4933,306.8976,23,[object Object],[object Object],[object Object],"64,756,584","551.7K","547.6K","118",[object Object],[object Object],23,[object Object]
710,29463549,46813266,51784921,60414495,61020221,64659278,73529753,"South Africa",1221037,1213090,"ZA","ZAF",true,0.0211,0.01,0.0076,50.3015,130.2808,24,[object Object],[object Object],[object Object],"60,414,495","1.2M","1.2M","50",[object Object],[object Object],24,[object Object]
380,56329482,56966397,59822450,58870762,58697744,57544258,52250484,"Italy",301336,295717,"IT","ITA",true,-0.0056,-0.0029,0.0073,198.493,514.0968,25,[object Object],[object Object],[object Object],"58,870,762","301.3K","295.7K","198",[object Object],[object Object],25,[object Object]
404,16187124,30851606,41517895,55100586,56203030,63103942,85211739,"Kenya",580367,569140,"KE","KEN",true,0.0353,0.02,0.007,98.7508,255.7646,26,[object Object],[object Object],[object Object],"55,100,586","580.4K","569.1K","99",[object Object],[object Object],26,[object Object]
